id,评论ID,抖音号,评论内容,评论时间,评论获赞数,评论回复数,性别,年龄,地区,获赞数,关注数,粉丝数,作品数,动态数,粉丝数
128,村子的猫,1386975087,这本书已经出电视剧了，但是我还是想看看原著,2020-04-15 20:06:53,1,0,,,,,,,,,
129,俺就是虎,203598675,@Tiamo 你就是我的石头[抠鼻],2020-04-15 20:05:11,0,3,,,,,,,,,
130,wxllll,3418123940,可以，我和我的舍友关系贼好[灵机一动],2020-04-15 20:01:21,0,0,,,,,,,,,
131,乖一点就抱你,1041831242,是啊，外面的天地那么大,2020-04-15 19:55:24,0,0,,,,,,,,,
132,不被需要,2356618403,我高中宿舍我都不想进，我烦死我的室友，我想他们可能不喜欢我。我知道，我什么都知道。,2020-04-15 19:54:58,0,0,,,,,,,,,
133,肖战快找女朋友，赶紧的,2367925249,《你好，旧时光》真的是宝藏书籍，高中三年每次撑不住了就拿出来看一下，很写实，八月长安的文字总是那么扎心又到位[泣不成声][泣不成声][泣不成声],2020-04-15 19:51:04,9,1,,,,,,,,,
134,洛瑞兮,628183870,可以的，大学舍友，毕业三年，今天过来陪她化妆，明天她结婚[爱心],2020-04-15 19:38:48,2,0,,,,,,,,,
135,路柠w,104249042,@橙橙橙橙橙 很开心我们既是室友又是朋友[鼓掌][鼓掌][玫瑰],2020-04-15 19:06:58,0,1,,,,,,,,,
136,不见山岳,2344956149,@周鹤,2020-04-15 19:03:07,0,0,,,,,,,,,
137,Belinda.🎈,1160690309,@是🌙呀 对,2020-04-15 18:52:35,1,3,,,,,,,,,
138,長安,1753861051,曾经最熟悉的人，往往到最后都要装成比陌生人还要陌生,2020-04-15 18:51:52,12,0,,,,,,,,,
139,齐儿姐,3429967348,想看《最好的我们》,2020-04-15 18:49:40,0,0,,,,,,,,,
140,虚颜,2360034078,不是所有人都能成为朋友，我列表里的人不多，两只手可以数的过来，但都是可靠的朋友。,2020-04-15 18:45:13,0,0,,,,,,,,,
141,冰棍儿,84479168,运气好处的好，就是小时代，处不好，就是甄嬛传,2020-04-15 18:15:28,6,0,,,,,,,,,
142,Yu.妤,2315641814,@talent talent欣亭,2020-04-15 18:12:08,0,2,,,,,,,,,
143,小精作业写完了吗,2820436639,@红歌坊远lady 细选,2020-04-15 18:10:13,4,0,,,,,,,,,
144,小精作业写完了吗,2820436639,@Emmmmmmm 精挑,2020-04-15 18:09:57,0,2,,,,,,,,,
145,🌻南巷🌻,96801442,@欢喜 亲爱的室友小遥,2020-04-15 18:07:04,0,2,,,,,,,,,
146,婆娑96774,2956609996,闺蜜不是个喜欢玩游戏的人，但他们全宿舍都在玩一个游戏，所以他也开始玩游戏了，害怕和他们没共同的话题[捂脸],2020-04-15 18:04:44,2,0,,,,,,,,,
147,牛奶不加糖,2798213405,@三石同学,2020-04-15 18:03:37,3,0,,,,,,,,,
148,蓝丹糖果.,2356882045,@LL not LL,2020-04-15 18:02:45,2,1,,,,,,,,,
149,宸汐,2051002128,@Sean 好朋友呀～[偷笑],2020-04-15 17:58:47,1,2,,,,,,,,,
150,超越自己,2271300185,是的，说的太有道理的[赞],2020-04-15 17:30:56,0,0,,,,,,,,,
151,梦里兽,2968854230,"@无期、, @三寸旧城七寸执念",2020-04-15 17:22:11,0,0,,,,,,,,,
152,趙~,378665002,让我开学我什么都可以接受,2020-04-15 17:06:35,0,0,,,,,,,,,
153,@光影,2314979829,Amber 姐姐好喜欢你啊[玫瑰],2020-04-15 16:43:04,0,0,,,,,,,,,
154,薄荷少女柠檬心,337030025,@贝壳女孩 幸好有你们，让我觉得自己值得被爱。,2020-04-15 16:40:00,0,1,,,,,,,,,
155,10.24。,1990347324,@西贝木子呀,2020-04-15 16:36:46,0,2,,,,,,,,,
156,小妖七七,1921324757,多想在大学的时候听到这些话，那样，我的大学时光会快乐很多吧,2020-04-15 16:32:33,5,0,,,,,,,,,
157,清歌留欢,116171968,我的朋友们跟我性格都不太一样，但也是很好的朋友，她们都是经过时间的流逝留下来陪我的友谊,2020-04-15 16:27:39,0,0,,,,,,,,,
158,平安幸福,276102271,@许小樱🍒,2020-04-15 16:08:01,0,0,,,,,,,,,
159,吴雩爱吃奶黄包,2304566942,@池魏* [泣不成声],2020-04-15 15:52:45,0,2,,,,,,,,,
160,矞,2938761412,你会发现 大学里面没有朋友的,2020-04-15 15:29:04,0,0,,,,,,,,,
161,下课了老师,1116370796,不能成为朋友，但是能成为儿子[机智][机智],2020-04-15 15:24:31,6,0,,,,,,,,,
162,用户1071161959131,2819981972,越长大，发现人越来越难相处了,2020-04-15 15:13:25,0,0,,,,,,,,,
163,痴人说梦,1127545535,@moon. @莹莹今天瘦了嘛 很奈斯嘛[捂脸][捂脸],2020-04-15 15:12:39,1,1,,,,,,,,,
164,★安颜★,1379954351,@[鼓掌][鼓掌][鼓掌][鼓掌][比心][比心][比心][比心][赞][抱拳],2020-04-15 15:10:42,0,0,,,,,,,,,
165,伊昕一意,120826449,@伊昕一念,2020-04-15 14:49:06,0,0,,,,,,,,,
166,生生💍,2829455819,@两颗大葡萄 @德    佳佳 咱三同类,2020-04-15 14:37:26,1,3,,,,,,,,,
167,万紫千红💝,1639412599,[鼓掌][鼓掌],2020-04-15 14:31:42,0,0,,,,,,,,,
168,🍬,266976848,@'◡',2020-04-15 14:09:34,2,1,,,,,,,,,
169,花之郡主,19808793,没错,2020-04-15 13:56:40,0,0,,,,,,,,,
170,桐心未免鸭,1178117879,@难寻. [泣不成声],2020-04-15 13:48:26,1,0,,,,,,,,,
171,夝,2837427718,@予画,2020-04-15 13:25:08,0,4,,,,,,,,,
172,是現睆,84784326,。,2020-04-15 13:23:00,0,0,,,,,,,,,
173,爱吃甜甜圈,855843179,@w,2020-04-15 13:18:16,0,1,,,,,,,,,
174,而已集,2840718918,@爱笑爱战 希望有用[呲牙],2020-04-15 12:51:50,0,0,,,,,,,,,
175,♛灿若繁星♧,838456320,@alive嘉伦 [嘿哈],2020-04-15 12:32:07,2,1,,,,,,,,,
176,新辞🍂,1247681730,大家都对林杨和余周周怀着羡慕。却很少有人对书里友情印象深刻。,2020-04-15 11:57:06,3,0,,,,,,,,,
177,鲸初七,871517512,挤不进去的圈子无需硬挤,2020-04-15 11:51:18,2,0,,,,,,,,,
178,安颜雅,351885778,[鼓掌],2020-04-15 11:40:11,2,0,,,,,,,,,
179,易燃易炸，,882634078,@小猫咪ლ,2020-04-15 11:17:07,1,0,,,,,,,,,
180,凯凯,2199578821,大学室友[微笑] 男生无间道 女生甄嬛传 上下铺两年的兄弟 为了一个小公司实习机会 整的头破血流 兄弟反目 一个在公司实习 一个去南方打拼,2020-04-15 10:53:25,1,2,,,,,,,,,
